"Indicator","Economy","Unit of Measure","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","Definition","Data Coverage","Calendar Year","Base Year","Source","Footnotes"
"Labor force participation rate","Uzbekistan","percent","69.7","68.7","68","67.7","67.9","67.9","67.9","71.1","71.1","73.4","70.7","69.7","70","70.5","71.3","71.9","72.5","73.5","74.3","75","73.82707984","74.09805415","73.71142611","72.9285135","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Ending 31 December","","Statistics Agency under the President of the Republic of Uzbekistan","For 2000–2023: The ratio of the economically active population to the working-age population. For 2017–2023: Data are in line with the International Labour Organization's standards adopted at the 19th International Conference of Labour Statisticians."
"Labor force participation rate","East Asia","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Labor force participation rate","China, People's Republic of","percent","76.8","76.3","75.7","75.2","74.6","74","73.4","72.8","72.2","71.6","71","70.9","70.4","70","69.7","69.3","68.9","68.4","67.8","67.4","65","67.1","66.9","66.382","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","International Labor Organization","For 2000–2023: Data refer to International Labour Organization estimates."
"Labor force participation rate","Hong Kong, China","percent","61.4","61.5","61.7","61.4","61.3","60.9","61.2","61.2","60.9","60.8","59.6","60.1","60.5","61.2","61.1","61.1","61.1","61.1","61.3","60.7","59.7","59.4","58.2","57.3","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","Census and Statistics Department Hong Kong Special Administrative Region of PRC","For 2000–2023: Figures presented involve the use of population figures in the compilation process. The population figures for periods after mid-2016 have been revised based on the latest population benchmark from the results of the 2021 Population Census. Figures presented have been revised accordingly."
"Labor force participation rate","Korea, Republic of","percent","61.2","61.5","62.1","61.6","62.3","62.2","62.2","62.2","61.7","61","61.1","61.3","61.6","61.7","62.7","62.8","62.9","63.2","63.1","63.3","62.5","62.8","63.9","64.3","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","Statistics Korea (formerly National Statistical Office)",""
"Labor force participation rate","Mongolia","percent","62.9","62.2","62.6","64.5","64.4","63.5","64.4","64.2","63.5","61.4","61.6","62.5","63.5","61.9","62.1","61.5","60.5","61.1","61","60.5","58.8","56.9","58.6","57.6","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","National Statistical Office of Mongolia","For 2000–2008: Data were compiled based on annual reports on population employment, and unemployment data were based on administrative data classified as the “number of registered unemployed people"". For 2009–2018: Data were prepared based on the results of the Labour Force Survey. For 2019–2023: The Labour Force Survey implemented uses an updated methodology and questionnaire based on the new standards of the 19th International Conference of Labour Statisticians resolution concerning statistics of work, employment, and labor underutilization."
"Labor force participation rate","Taipei,China","percent","57.68","57.23","57.34","57.34","57.66","57.78","57.92","58.25","58.28","57.9","58.07","58.17","58.35","58.43","58.54","58.65","58.75","58.83","58.99","59.17","59.14","59.02","59.18","59.22","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","","","Directorate-General of Budget, Accounting, and Statistics",""
"Labor force participation rate","South Asia","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Labor force participation rate","Bangladesh","percent","54.9","...","...","57.3","...","...","58.5","...","...","...","59.3","...","...","57.1","...","...","58.5","58.2","...","...","...","...","61.2","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Ending 30 June","","Bangladesh Bureau of Statistics",""
"Labor force participation rate","Bhutan","percent","...","56.5","...","62.9","54.4","60.44261","61.8","67.3","...","68.5","68.6","67.4","64.4","65.3","62.6","63.1","62.2","63.3","62.6","66.4","67.8","69.1","63.1","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","National Statistics Bureau","For 2001, 2003–2007, and 2009–2022: For 2005 and 2017, data are from the census of population, while data for other years are from labor force surveys. Thus, data prior to and after the census years may not be directly comparable to 2005 and 2017 figures."
"Labor force participation rate","India","percent","61.7","...","...","...","...","63.7","...","...","...","...","57.1","...","55.9","...","...","...","...","...","49.8","50.2","53.5","54.9","55.2","57.9","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Ending 30 June","","National Statistical Office","For 2000: Data on labor force are estimates from the National Sample Survey. The data corresponds to the survey period 1 July 1999 to 30 June 2000. For 2005: Data on labor force are estimates from the National Sample Survey. The data corresponds to the survey period 1 July 2004 to 30 June 2005. For 2010: Data on labor force are estimates from the National Sample Survey. The data corresponds to the survey period 1 July 2009 to 30 June 2010. For 2012: Data on labor force are estimates from the National Sample Survey. The data corresponds to the survey period 1 July 2011 to 30 June 2012. For 2018: Data on labor force are estimates from the Periodic Labour Force Survey. The data corresponds to the survey period July 1, 2017 to June 30, 2018. For 2019: Data on labor force are estimates from the Periodic Labour Force Survey. The data corresponds to the survey period July 1, 2018 to June 30, 2019. For 2020: Data on labor force are estimates from the Periodic Labour Force Survey. The data corresponds to the survey period July 1, 2019 to June 30, 2020. For 2021: Data on labor force are estimates from the Periodic Labour Force Survey. The data corresponds to the survey period July 1, 2020 to June 30, 2021. For 2022–2023: Data on labor force are estimates from the Periodic Labour Force Survey. The data corresponds to the survey period July 1, 2021 to June 30, 2022."
"Labor force participation rate","Maldives","percent","47.68375","...","...","...","...","...","57.68776","...","...","...","52.09934","...","...","...","63.8","...","57.6","...","...","60.24601489","...","...","64.2","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","National Bureau of Statistics (formerly Ministry of National Planning, Housing & Infrastructure)","For 2000, 2006, 2010, 2014, 2016, 2019, and 2022: Data refer to persons aged 15 years and older. Figures include local population only."
"Labor force participation rate","Nepal","percent","...","...","...","...","77.2","...","...","...","83.4","...","...","...","74.3","77.2","72.2","...","...","...","38.5","...","...","...","...","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","Central Bureau of Statistics","For 2004, 2008, 2012–2014, and 2018: All data include only those people who are usually economically active. Figures for the different years may not be directly comparable due to differences in the primary data sources (i.e., data for 2004 are based on the Nepal Living Standard Survey, data for 2008 and 2018 are based on labor force surveys, data for 2011 are based on the 2011 census, and data for 2012–2014 are based on the annual household surveys). Furthermore, 2008 and 2018 data based on labor force surveys may not be comparable with each other due to changes in the standards after the 19th International Conference of Labour Statisticians."
"Labor force participation rate","Sri Lanka","percent","50.33161","48.82913","50.31465","48.90091","48.5816","48.3","51.2","49.8","50.2","49.2","48.6","47.8","47.2","53.70526","53.18241441","53.8","53.8","54.06986421","51.7883353","52.31369965","50.6","49.9","49.8","48.6","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","","","2000–2022: Department of Census and Statistics. 2023: Central Bank of Sri Lanka.","For 2000–2012: The reference working age population is 10 years of age and older. For 2013–2023: The reference working age population is 15 years of age and older."
"Labor force participation rate","Southeast Asia","","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","","","","","",""
"Labor force participation rate","Brunei Darussalam","percent","...","67.9","...","...","...","...","...","...","...","...","...","68.9","...","...","65.6","...","...","64.16587","66.77424","64.57421","65.53991","63.75039","62.72054","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","Department of Economic Planning and Statistics","For 2001: Data are based on the Population and Housing Census 2001. For 2011: Data are based on the Population and Housing Census 2011. For 2014: Data are based on the Labour Force Survey. For 2017–2022: Data are based on the final data of the Population and Housing Census (BPP) 2021 and the Labour Force Survey 2021."
"Labor force participation rate","Cambodia","percent","65.2","71.7","...","...","74.6","...","...","...","81.79871","84.38511","87.00104","87.49283","84.19427","83.02675","82.6","82.7","84","86.6","...","87.4","...","84","...","...","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","National Institute of Statistics",""
"Labor force participation rate","Indonesia","percent","67.76","68.6","67.76","67.86","67.55","66.79","66.16","66.99","67.18","67.23","67.72","66.78","67.76","66.77","66.6","65.76","66.34","66.67","67.3","67.5","67.8","67.8","68.63","69.48","...","...","Percentage of the labor force to the working-age population. The labor force is the sum of those employed and unemployed but seeking work. The labor force participation rate measures the extent of the economically active working-age population in an economy. 
 
It provides an indication of the relative size of the supply of labor available for the production of goods and services in the economy. It must be noted that the definition of working-age population varies across economies. 

Note: Recommendations from the 19th International Conference of Labour Statisticians have been adopted by some economies, and hence these economies may not have comparable data across years. The conference provides the statistical concept of work for reference purposes; and the operational concepts, definitions, and guidelines for (i) three distinct subsets of work activities, referred to as forms of work, which include own-use production work, employment work, and volunteer work; (ii) related classifications of the population according to their labor force status and main work status; and (iii) measures of labor underutilization. The concept of employment has also been refined to refer to work for pay or profit. ","From 2000 to 2025","Calendar Year","","BPS Statistics Indonesia",""
